"LSOA01","Name","Annual Average Electricity Domestic Consumption  (kWh)(2007)","Annual Average Electricity Domestic Consumption  (kWh)(2008)","Annual Average Electricity Domestic Consumption  (kWh)(2009)","Annual Average Electricity Domestic Consumption  (kWh)(2010)","Annual Average Ordinary Electricity Domestic Consumption  (kWh)(2007)","Annual Average Ordinary Electricity Domestic Consumption  (kWh)(2008)","Annual Average Ordinary Electricity Domestic Consumption  (kWh)(2009)","Annual Average Ordinary Electricity Domestic Consumption  (kWh)(2010)","Annual Average Economy 7 Electricity Domestic Consumption  (kWh)(2007)","Annual Average Economy 7 Electricity Domestic Consumption  (kWh)(2008)","Annual Average Economy 7 Electricity Domestic Consumption  (kWh)(2009)","Annual Average Economy 7 Electricity Domestic Consumption  (kWh)(2010)","Annual Total Domestic Electricity Consumption  (kWh)(2007)","Annual Total Domestic Electricity Consumption  (kWh)(2008)","Annual Total Domestic Electricity Consumption  (kWh)(2009)","Annual Total Domestic Electricity Consumption  (kWh)(2010)","Annual Ordinary Domestic Electricity Consumption  (kWh)(2007)","Annual Ordinary Domestic Electricity Consumption  (kWh)(2008)","Annual Ordinary Domestic Electricity Consumption  (kWh)(2009)","Annual Ordinary Domestic Electricity Consumption  (kWh)(2010)","Annual Economy 7 Domestic Electricity Consumption  (kWh)(2007)","Annual Economy 7 Domestic Electricity Consumption  (kWh)(2008)","Annual Economy 7 Domestic Electricity Consumption  (kWh)(2009)","Annual Economy 7 Domestic Electricity Consumption  (kWh)(2010)","Number of Ordinary Domestic Meters(2010)","Number of Economy 7 Meters(2010)",
"_E01014522","Highridge","3764","3395","3514","3479","3574.0","3249.0","3330.0","3298.0","6071.0","5090.0","5747.0","5851.0","2812021","2532581","2632270","2644148","2465977.0","2232251.0","2304666.0","2328222.0","346044.0","300330.0","327604.0","315926.0","706","54.0",
"_E01014523","Allison Road","4288","4092","4027","3901","3926.0","3788.0","3749.0","3605.0","6872.0","6323.0","6130.0","6333.0","2444142","2316212","2279000","2266233","1963083.0","1886223.0","1874436.0","1867229.0","481059.0","429989.0","404564.0","399004.0","518","63.0",
"_E01014524","Birchwood Road","3878","3704","3775","3645","3822.0","3674.0","3717.0","3563.0","4907.0","4297.0","4781.0","5011.0","2389102","2292778","2344329","2274239","2232077.0","2163878.0","2181778.0","2098872.0","157026.0","128900.0","162551.0","175367.0","589","35.0",
"_E01014525","Manworthy Road","3564","3654","3694","3544","3437.0","3552.0","3615.0","3486.0","5761.0","5341.0","5042.0","4526.0","2345142","2444491","2474904","2399253","2137738.0","2241535.0","2288354.0","2227250.0","207404.0","202956.0","186550.0","172003.0","639","38.0",
"_E01014526","Broomhill Road","3692","3423","3532","3489","3479.0","3273.0","3495.0","3402.0","6846.0","5597.0","4059.0","4785.0","2569320","2375835","2447477","2428552","2268098.0","2123973.0","2264829.0","2217996.0","301222.0","251862.0","182648.0","210556.0","652","44.0",
"_E01014527","School Road","3384","3422","3647","3572","3063.0","3109.0","3360.0","3324.0","5187.0","5301.0","5386.0","5088.0","2284205","2398573","2552665","2518195","1755144.0","1868483.0","2019463.0","2014468.0","529061.0","530090.0","533202.0","503727.0","606","99.0",
"_E01014528","Newbridge Road","4038","3775","3847","3604","3549.0","3389.0","3458.0","3230.0","6754.0","5979.0","6107.0","5807.0","2834389","2661460","2723907","2558682","2111758.0","2033653.0","2088764.0","1960611.0","722631.0","627807.0","635143.0","598071.0","607","103.0",
"_E01014529","St Annes Park","3942","3835","3969","3855","3663.0","3515.0","3752.0","3652.0","5034.0","5079.0","4873.0","4692.0","2463578","2385179","2496703","2440510","1824275.0","1740146.0","1902228.0","1858713.0","639303.0","645033.0","594475.0","581797.0","509","124.0",
"_E01014530","Wootton Road","4083","3837","3825","3859","3397.0","3252.0","3272.0","3272.0","6531.0","6051.0","5891.0","6098.0","2853992","2773927","2700354","2728586","1854785.0","1860181.0","1822598.0","1832208.0","999207.0","913745.0","877756.0","896378.0","560","147.0",
"_E01014531","Sandy Park Road","3667","3553","3401","3270","3493.0","3427.0","3263.0","3170.0","6689.0","5879.0","5917.0","5075.0","2841583","2838931","2737878","2635257","2560658.0","2597895.0","2489378.0","2422129.0","280925.0","241036.0","248500.0","213128.0","764","42.0",
"_E01014532","Sandholme Road","3478","3256","3401","3207","3357.0","3142.0","3300.0","3147.0","6087.0","6160.0","5604.0","4663.0","2201607","2070831","2186539","2084743","2031159.0","1922997.0","2029633.0","1963503.0","170449.0","147834.0","156906.0","121241.0","624","26.0",
"_E01014533","Bath Road","4293","4144","4022","3949","3987.0","3875.0","3753.0","3766.0","6256.0","5950.0","5800.0","5125.0","2636053","2627138","2570268","2543269","2116841.0","2139203.0","2083055.0","2097429.0","519212.0","487935.0","487213.0","445840.0","557","87.0",
"_E01014534","Kensington Park","3968","3875","3812","3634","3862.0","3768.0","3730.0","3547.0","5708.0","5525.0","5213.0","5061.0","2615109","2545564","2550053","2464052","2398218.0","2324549.0","2357168.0","2266668.0","216891.0","221016.0","192885.0","197383.0","639","39.0",
"_E01014535","Callington Road","4387","4167","4042","3910","4251.0","3975.0","3893.0","3763.0","7546.0","8640.0","7693.0","7520.0","3286233","3137675","3092123","2991220","3052321.0","2869839.0","2861347.0","2765623.0","233912.0","267836.0","230776.0","225598.0","735","30.0",
"_E01014536","Hicks Gate","3591","3388","3474","3431","3244.0","3111.0","3179.0","3208.0","5925.0","5280.0","5547.0","5009.0","2575002","2436146","2508223","2473456","2024018.0","1950416.0","2009005.0","2027647.0","550984.0","485729.0","499219.0","445809.0","632","89.0",
"_E01014537","Eldonwall","3770","3552","3570","3492","3578.0","3380.0","3420.0","3363.0","5753.0","5391.0","5184.0","4904.0","2861689","2781185","2816412","2755386","2476225.0","2419965.0","2469096.0","2431731.0","385464.0","361220.0","347316.0","323655.0","723","66.0",
"_E01014538","Woodland Road","4176","3788","3805","3719","3695.0","3244.0","3312.0","3413.0","6033.0","5993.0","5803.0","5035.0","3089984","2814272","2865246","2837807","2172945.0","1933266.0","2000584.0","2112792.0","917039.0","881007.0","864662.0","725015.0","619","144.0",
"_E01014539","Kingsdown Parade","4069","3993","3789","3801","3570.0","3456.0","3333.0","3359.0","6493.0","6567.0","6163.0","6143.0","3316031","3262364","3103351","3112862","2413550.0","2336383.0","2289877.0","2314305.0","902480.0","925981.0","813473.0","798557.0","689","130.0",
"_E01014540","City Centre and Queens Square","4365","4477","4598","4606","3979.0","4172.0","4302.0","4263.0","7898.0","6865.0","6801.0","7295.0","3941556","5304679","5319406","5371024","3238639.0","4384803.0","4387651.0","4408141.0","702916.0","919877.0","931755.0","962882.0","1034","132.0",
"_E01014541","St James Barton","4608","4398","4270","4047","2772.0","2620.0","2541.0","2520.0","5914.0","5680.0","5687.0","5547.0","5534737","5251694","5422940","5511879","1383112.0","1309741.0","1453664.0","1701154.0","4151626.0","3941953.0","3969276.0","3810725.0","675","687.0",
"_E01014542","University","4647","4666","4839","4549","3832.0","4066.0","4283.0","4140.0","7525.0","6588.0","6665.0","5914.0","4674862","4315739","4562784","4298641","3004262.0","2866423.0","3096483.0","3009437.0","1670601.0","1449316.0","1466301.0","1289204.0","727","218.0",
"_E01014543","City Centre and Harbourside","4607","4274","4485","4433","3463.0","3137.0","3358.0","3469.0","7298.0","7562.0","7686.0","7472.0","7444565","7953468","8283506","8962944","3926884.0","4339074.0","4586744.0","5324156.0","3517681.0","3614394.0","3696762.0","3638788.0","1535","487.0",
"_E01014544","Clifton Down","4972","3932","4685","4531","4485.0","4310.0","4271.0","4229.0","7634.0","1782.0","7106.0","6342.0","2953647","2343625","2820484","2718810","2251311.0","2185048.0","2195139.0","2173432.0","702336.0","158577.0","625345.0","545378.0","514","86.0",
"_E01014545","Clifton College","5068","4949","4868","4942","4546.0","4494.0","4407.0","4551.0","7092.0","6739.0","6660.0","6490.0","4348747","4251183","4142260","4210877","3100469.0","3078538.0","2983357.0","3094632.0","1248279.0","1172644.0","1158903.0","1116245.0","680","172.0",
"_E01014546","Clifton Central","3980","3907","4002","3950","3579.0","3486.0","3643.0","3609.0","5754.0","5918.0","5723.0","5580.0","3192182","3301016","3429506","3377190","2340563.0","2436950.0","2582540.0","2551342.0","851620.0","864066.0","846966.0","825848.0","707","148.0",
"_E01014547","Clifton Village","3666","3516","3493","3439","3405.0","3194.0","3228.0","3186.0","6085.0","6564.0","6037.0","5877.0","3611326","3449618","3405414","3363408","3027125.0","2832621.0","2850047.0","2822736.0","584201.0","616997.0","555368.0","540672.0","886","92.0",
